instance_name,time_seconds,objective_value,jain_fairness,num_vehicles,algorithm,instance_size
instance5_nreq50_nveh2_gamma47,0.059982,3739.905,0.5,2,simulated_annealing,50
instance29_nreq50_nveh2_gamma45,0.052483,3598.44,0.5,2,simulated_annealing,50
instance26_nreq50_nveh2_gamma50,0.056871,3921.905,0.5,2,simulated_annealing,50
instance11_nreq50_nveh2_gamma45,0.056551,3377.44,0.5,2,simulated_annealing,50
instance18_nreq50_nveh2_gamma43,0.050856,3008.845,0.5,2,simulated_annealing,50
instance15_nreq50_nveh2_gamma48,0.058794,3663.68,0.5,2,simulated_annealing,50
instance4_nreq50_nveh2_gamma46,0.057184,3369.06,0.5,2,simulated_annealing,50
instance8_nreq50_nveh2_gamma45,0.051079,3568.45,0.5,2,simulated_annealing,50
instance17_nreq50_nveh2_gamma45,0.055872,3569.96,0.5,2,simulated_annealing,50
instance20_nreq50_nveh2_gamma44,0.050219,2850.865,0.5,2,simulated_annealing,50
instance9_nreq50_nveh2_gamma46,0.054518,3454.78,0.5,2,simulated_annealing,50
instance12_nreq50_nveh2_gamma46,0.056762,3291.865,0.5,2,simulated_annealing,50
instance1_nreq50_nveh2_gamma50,0.061172,3867.04,0.5,2,simulated_annealing,50
instance21_nreq50_nveh2_gamma44,0.050677,3390.72,0.5,2,simulated_annealing,50
instance19_nreq50_nveh2_gamma43,0.053312,3247.97,0.5,2,simulated_annealing,50
instance30_nreq50_nveh2_gamma42,0.054447,3079.96,0.5,2,simulated_annealing,50
instance23_nreq50_nveh2_gamma42,0.056161,2972.655,0.5,2,simulated_annealing,50
instance25_nreq50_nveh2_gamma45,0.059497,3360.905,0.5,2,simulated_annealing,50
instance27_nreq50_nveh2_gamma41,0.048337,2658.79,0.5,2,simulated_annealing,50
instance14_nreq50_nveh2_gamma45,0.053548,3348.43,0.5,2,simulated_annealing,50
instance28_nreq50_nveh2_gamma44,0.05492,3547.24,0.5,2,simulated_annealing,50
instance13_nreq50_nveh2_gamma47,0.062651,3726.165,0.5,2,simulated_annealing,50
instance7_nreq50_nveh2_gamma41,0.05149,3067.595,0.5,2,simulated_annealing,50
instance10_nreq50_nveh2_gamma48,0.057666,3565.43,0.5,2,simulated_annealing,50
instance24_nreq50_nveh2_gamma45,0.052978,3380.81,0.5,2,simulated_annealing,50
instance22_nreq50_nveh2_gamma43,0.054521,3268.62,0.5,2,simulated_annealing,50
instance16_nreq50_nveh2_gamma43,0.05073,3290.04,0.5,2,simulated_annealing,50
instance3_nreq50_nveh2_gamma49,0.056251,3181.31,0.5,2,simulated_annealing,50
instance9_nreq100_nveh2_gamma91,0.003017,9500.039672,0.999169,2,deterministic,100
instance26_nreq100_nveh2_gamma89,0.002961,9641.011501,0.999804,2,deterministic,100
instance14_nreq100_nveh2_gamma94,0.002848,9889.030358,0.999619,2,deterministic,100
instance4_nreq100_nveh2_gamma93,0.002963,9723.395497,0.993259,2,deterministic,100
instance12_nreq100_nveh2_gamma91,0.002763,9698.423644,0.99187,2,deterministic,100
instance22_nreq100_nveh2_gamma89,0.002828,9926.151277,0.997469,2,deterministic,100
instance11_nreq100_nveh2_gamma88,0.002904,9441.020948,0.999529,2,deterministic,100
instance18_nreq100_nveh2_gamma87,0.002763,9266.173966,0.995073,2,deterministic,100
instance10_nreq100_nveh2_gamma98,0.003173,10237.189517,0.995517,2,deterministic,100
instance28_nreq100_nveh2_gamma93,0.002812,9234.159806,0.994254,2,deterministic,100
instance5_nreq100_nveh2_gamma88,0.00277,8756.000469,0.999967,2,deterministic,100
instance30_nreq100_nveh2_gamma89,0.002981,9009.002065,0.999893,2,deterministic,100
instance13_nreq100_nveh2_gamma89,0.002744,9781.060971,0.997466,2,deterministic,100
instance24_nreq100_nveh2_gamma84,0.00296,8490.129951,0.99632,2,deterministic,100
instance20_nreq100_nveh2_gamma86,0.002942,9183.067407,0.998405,2,deterministic,100
instance2_nreq100_nveh2_gamma92,0.002774,9497.003141,0.999858,2,deterministic,100
instance21_nreq100_nveh2_gamma88,0.003808,10017.027436,0.999565,2,deterministic,100
instance23_nreq100_nveh2_gamma92,0.002872,9849.031735,0.99932,2,deterministic,100
instance16_nreq100_nveh2_gamma90,0.003221,9973.116988,0.996687,2,deterministic,100
instance17_nreq100_nveh2_gamma86,0.002818,8809.008332,0.999852,2,deterministic,100
